iter	Passed	Remaining
0	1	165
1	3	159
2	4	153
3	6	144
4	7	144
5	9	141
6	10	140
7	12	138
8	13	138
9	15	137
10	16	135
11	18	134
12	19	132
13	21	130
14	22	128
15	24	127
16	25	126
17	27	124
18	28	122
19	30	120
20	31	118
21	32	116
22	34	114
23	35	112
24	36	110
25	38	108
26	39	107
27	40	105
28	42	103
29	43	101
30	45	100
31	46	98
32	47	96
33	49	95
34	50	93
35	51	91
36	53	90
37	54	89
38	55	87
39	57	85
40	58	84
41	59	81
42	60	80
43	61	78
44	63	77
45	64	75
46	65	74
47	67	72
48	68	71
49	69	69
50	70	68
51	72	66
52	73	65
53	74	63
54	75	61
55	76	60
56	78	59
57	79	57
58	80	56
59	82	54
60	83	53
61	84	51
62	85	50
63	87	49
64	88	47
65	89	46
66	91	44
67	92	43
68	93	42
69	94	40
70	96	39
71	97	38
72	99	36
73	100	35
74	101	33
75	103	32
76	104	31
77	105	29
78	107	28
79	108	27
80	109	25
81	110	24
82	112	23
83	113	21
84	115	20
85	116	18
86	117	17
87	119	16
88	120	14
89	121	13
90	122	12
91	124	10
92	125	9
93	127	8
94	128	6
95	129	5
96	131	4
97	132	2
98	133	1
99	135	0
