iter	Passed	Remaining
0	143	143021
1	144	72020
2	145	48312
3	146	36437
4	147	29304
5	148	24544
6	148	21132
7	149	18591
8	150	16608
9	152	15054
10	152	13746
11	153	12656
12	154	11734
13	155	10948
14	156	10269
15	157	9671
16	158	9141
17	158	8671
18	159	8248
19	160	7868
20	161	7525
21	162	7213
22	163	6960
23	165	6720
24	166	6495
25	167	6272
26	168	6063
27	169	5870
28	169	5691
29	170	5522
30	171	5364
31	172	5215
32	173	5076
33	174	4949
34	175	4825
35	175	4708
36	176	4598
37	177	4493
38	178	4398
39	179	4311
40	180	4231
41	181	4146
42	182	4065
43	183	3987
44	184	3912
45	185	3842
46	186	3775
47	187	3709
48	187	3646
49	188	3585
50	189	3526
51	190	3470
52	191	3416
53	192	3364
54	193	3320
55	194	3277
56	195	3231
57	196	3186
58	196	3141
59	197	3098
60	198	3057
61	199	3017
62	200	2978
63	201	2941
64	201	2904
65	202	2871
66	203	2837
67	204	2803
68	205	2771
69	206	2740
70	207	2712
71	208	2687
72	209	2662
73	210	2633
74	211	2605
75	212	2579
76	212	2552
77	213	2527
78	214	2503
79	215	2478
80	216	2454
81	217	2431
82	217	2404
83	218	2382
84	219	2361
85	220	2340
86	221	2319
87	222	2303
88	223	2291
89	225	2276
90	226	2257
91	226	2238
92	227	2219
93	228	2201
94	229	2185
95	230	2170
96	232	2161
97	232	2144
98	233	2127
99	234	2111
100	235	2095
101	236	2080
102	237	2068
103	238	2058
104	239	2044
105	240	2030
106	241	2016
107	242	2002
108	243	1988
109	244	1974
110	245	1962
111	245	1949
112	246	1936
113	247	1924
114	248	1911
115	249	1899
116	249	1886
117	250	1875
118	252	1868
119	254	1863
120	255	1852
121	255	1840
122	256	1829
123	257	1818
124	258	1808
125	259	1798
126	259	1786
127	260	1776
128	261	1767
129	262	1757
130	263	1747
131	264	1738
132	265	1729
133	266	1722
134	268	1717
135	269	1711
136	270	1702
137	271	1693
138	272	1685
139	273	1677
140	274	1669
141	274	1659
142	275	1650
143	276	1642
144	277	1634
145	277	1626
146	278	1618
147	279	1610
148	280	1602
149	281	1596
150	283	1591
151	283	1584
152	284	1576
153	285	1569
154	286	1562
155	287	1555
156	288	1548
157	289	1541
158	290	1535
159	291	1528
160	291	1520
161	292	1514
162	293	1507
163	294	1501
164	295	1495
165	296	1490
166	298	1490
167	299	1484
168	300	1477
169	301	1471
170	302	1465
171	303	1459
172	304	1453
173	304	1447
174	305	1441
175	306	1435
176	307	1429
177	308	1424
178	309	1418
179	310	1412
180	311	1407
181	312	1403
182	313	1399
183	314	1393
184	315	1388
185	315	1382
186	316	1377
187	317	1371
188	318	1366
189	319	1361
190	320	1356
191	321	1351
192	321	1346
193	322	1341
194	323	1336
195	324	1331
196	325	1326
197	328	1328
198	328	1323
199	329	1318
200	330	1313
201	331	1308
202	332	1303
203	332	1299
204	333	1294
205	334	1290
206	335	1285
207	336	1280
208	337	1276
209	338	1272
210	339	1267
211	339	1263
212	340	1259
213	342	1259
214	343	1254
215	344	1250
216	345	1245
217	346	1241
218	346	1236
219	347	1232
220	348	1228
221	349	1224
222	350	1220
223	351	1216
224	351	1212
225	352	1208
226	353	1204
227	354	1200
228	355	1196
229	356	1193
230	358	1191
231	358	1187
232	359	1184
233	360	1180
234	361	1176
235	362	1173
236	363	1169
237	364	1165
238	364	1161
239	365	1157
240	366	1154
241	367	1150
242	368	1148
243	369	1144
244	370	1141
245	372	1140
246	373	1138
247	374	1135
248	375	1131
249	376	1128
250	377	1126
251	378	1122
252	379	1119
253	380	1116
254	381	1113
255	382	1110
256	383	1108
257	384	1105
258	386	1105
259	387	1103
260	388	1101
261	389	1098
262	390	1094
263	391	1091
264	392	1088
265	393	1085
266	394	1082
267	394	1078
268	395	1075
269	396	1072
270	397	1069
271	398	1066
272	399	1063
273	400	1061
274	401	1059
275	402	1056
276	403	1053
277	404	1050
278	405	1048
279	406	1045
280	407	1042
281	408	1039
282	409	1036
283	409	1033
284	410	1030
285	411	1028
286	412	1025
287	413	1022
288	414	1020
289	415	1018
290	416	1015
291	417	1013
292	418	1010
293	419	1007
294	420	1004
295	421	1002
296	422	999
297	423	996
298	423	993
299	424	990
300	425	988
301	426	985
302	427	983
303	428	980
304	429	978
305	430	977
306	431	974
307	432	971
308	433	969
309	434	966
310	435	964
311	436	961
312	436	958
313	437	956
314	438	953
315	439	951
316	440	948
317	441	946
318	442	943
319	443	941
320	444	939
321	445	937
322	446	935
323	447	932
324	447	930
325	448	928
326	449	925
327	450	923
328	451	920
329	452	918
330	453	916
331	454	913
332	455	911
333	455	909
334	456	906
335	457	904
336	458	902
337	460	900
338	460	898
339	461	896
340	462	894
341	463	892
342	464	889
343	465	887
344	466	885
345	467	883
346	468	880
347	469	878
348	469	876
349	470	874
350	471	871
351	472	869
352	473	867
353	474	866
354	475	864
355	476	862
356	477	859
357	478	857
358	479	855
359	480	853
360	481	851
361	482	849
362	483	847
363	484	845
364	484	843
365	485	841
366	486	839
367	487	837
368	488	836
369	490	834
370	490	832
371	491	830
372	492	828
373	493	826
374	494	824
375	495	822
376	496	820
377	497	818
378	498	816
379	499	814
380	500	812
381	500	810
382	501	808
383	502	806
384	504	805
385	505	803
386	506	801
387	506	799
388	507	797
389	508	795
390	509	793
391	510	791
392	511	789
393	512	787
394	512	785
395	513	783
396	514	781
397	515	779
398	516	777
399	517	775
400	519	775
401	521	775
402	522	773
403	522	771
404	523	769
405	524	767
406	525	765
407	526	764
408	527	762
409	528	760
410	529	758
411	530	756
412	530	754
413	531	752
414	532	751
415	534	749
416	535	748
417	536	746
418	537	745
419	538	743
420	538	741
421	539	739
422	540	737
423	541	735
424	542	733
425	543	732
